2,3,Party,Votes,Round,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,4502,R-1,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,4850,R-2,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,4709,R-3,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,2636,R-4,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,3621,R-5,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,3988,R-6,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,5117,R-7,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,3997,R-8,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,4234,R-9,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,4264,R-10,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,3536,R-11,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,3316,R-12,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,3981,R-13,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,4537,R-14,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,2958,R-15,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,2876,R-16,,,,,,,
A K M ASHRAF,Manjeshwar,Indian Union Muslim League,2068,R-17,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),1844,R-1,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2093,R-2,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2203,R-3,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2676,R-4,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2549,R-5,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2333,R-6,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),1693,R-7,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2090,R-8,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2158,R-9,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2639,R-10,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2750,R-11,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2181,R-12,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2161,R-13,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),2486,R-14,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),3197,R-15,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),3125,R-16,,,,,,,
V V RAMESHAN,Manjeshwar,Communist Party of India (Marxist),1920,R-17,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,4192,R-1,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,3326,R-2,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,2758,R-3,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,4348,R-4,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,4779,R-5,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,3548,R-6,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,2960,R-7,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,3834,R-8,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,3004,R-9,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,3337,R-10,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,5134,R-11,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,3973,R-12,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,3325,R-13,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,2862,R-14,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,3577,R-15,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,4505,R-16,,,,,,,
K SURENDRAN,Manjeshwar,Bharatiya Janata Party,4538,R-17,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,13,R-1,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,15,R-2,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,6,R-3,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,23,R-4,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,10,R-5,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,11,R-6,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,9,R-7,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,13,R-8,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,8,R-9,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,11,R-10,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,24,R-11,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,15,R-12,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,19,R-13,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,9,R-14,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,18,R-15,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,14,R-16,,,,,,,
PRAVEEN KUMAR S,Manjeshwar,Anna Democratic Human Rights Movement Party of India,32,R-17,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,13,R-1,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,11,R-2,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,5,R-3,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,18,R-4,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,16,R-5,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,3,R-6,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,5,R-7,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,5,R-8,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,8,R-9,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,13,R-10,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,22,R-11,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,12,R-12,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,8,R-13,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,7,R-14,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,11,R-15,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,14,R-16,,,,,,,
JOHN D SOUZA I,Manjeshwar,Independent,9,R-17,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,9,R-1,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,9,R-2,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,7,R-3,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,16,R-4,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,7,R-5,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,10,R-6,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,8,R-7,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,9,R-8,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,8,R-9,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,15,R-10,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,21,R-11,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,9,R-12,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,6,R-13,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,10,R-14,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,13,R-15,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,22,R-16,,,,,,,
SURENDRAN M S/o PADMAVATHI M,Manjeshwar,Independent,17,R-17,,,,,,,
NOTA,Manjeshwar,None of the Above,31,R-1,,,,,,,
NOTA,Manjeshwar,None of the Above,17,R-2,,,,,,,
NOTA,Manjeshwar,None of the Above,15,R-3,,,,,,,
NOTA,Manjeshwar,None of the Above,24,R-4,,,,,,,
NOTA,Manjeshwar,None of the Above,21,R-5,,,,,,,
NOTA,Manjeshwar,None of the Above,25,R-6,,,,,,,
NOTA,Manjeshwar,None of the Above,17,R-7,,,,,,,
NOTA,Manjeshwar,None of the Above,18,R-8,,,,,,,
NOTA,Manjeshwar,None of the Above,19,R-9,,,,,,,
NOTA,Manjeshwar,None of the Above,20,R-10,,,,,,,
NOTA,Manjeshwar,None of the Above,26,R-11,,,,,,,
NOTA,Manjeshwar,None of the Above,31,R-12,,,,,,,
NOTA,Manjeshwar,None of the Above,23,R-13,,,,,,,
NOTA,Manjeshwar,None of the Above,28,R-14,,,,,,,
NOTA,Manjeshwar,None of the Above,20,R-15,,,,,,,
NOTA,Manjeshwar,None of the Above,28,R-16,,,,,,,
NOTA,Manjeshwar,None of the Above,24,R-17,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,4777,R-1,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,3797,R-2,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,3934,R-3,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,2829,R-4,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,3051,R-5,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,3514,R-6,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,3474,R-7,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,4493,R-8,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,5897,R-9,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,6445,R-10,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,3517,R-11,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,3147,R-12,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,5551,R-13,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,6247,R-14,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,1602,R-15,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,403,R-16,,,,,,,
N A NELLIKKUNNU,Kasaragod,Indian Union Muslim League,146,R-17,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,31,R-1,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,39,R-2,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,61,R-3,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,31,R-4,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,54,R-5,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,93,R-6,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,55,R-7,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,26,R-8,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,40,R-9,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,29,R-10,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,54,R-11,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,43,R-12,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,36,R-13,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,27,R-14,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,37,R-15,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,5,R-16,,,,,,,
VIJAYA K P,Kasaragod,Bahujan Samaj Party,3,R-17,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,2551,R-1,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,3801,R-2,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,3445,R-3,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,5011,R-4,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,4521,R-5,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,5137,R-6,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,4402,R-7,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,2324,R-8,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,949,R-9,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,1656,R-10,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,3717,R-11,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,4208,R-12,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,2369,R-13,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,2087,R-14,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,2522,R-15,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,834,R-16,,,,,,,
ADV K SHREEKANTH,Kasaragod,Bharatiya Janata Party,203,R-17,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,25,R-1,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,31,R-2,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,36,R-3,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,36,R-4,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,41,R-5,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,54,R-6,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,50,R-7,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,44,R-8,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,36,R-9,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,36,R-10,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,26,R-11,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,32,R-12,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,27,R-13,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,23,R-14,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,34,R-15,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,10,R-16,,,,,,,
RANJITH RAJ M,Kasaragod,Anna Democratic Human Rights Movement Party of India,4,R-17,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,1536,R-1,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,1565,R-2,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,1909,R-3,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,1284,R-4,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,1325,R-5,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,1627,R-6,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,1667,R-7,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,2289,R-8,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,2218,R-9,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,2779,R-10,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,2516,R-11,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,1736,R-12,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,1595,R-13,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,1526,R-14,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,1830,R-15,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,550,R-16,,,,,,,
M A LATHEEF,Kasaragod,Indian National League,76,R-17,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,21,R-1,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,28,R-2,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,31,R-3,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,26,R-4,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,26,R-5,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,40,R-6,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,43,R-7,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,24,R-8,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,18,R-9,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,26,R-10,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,24,R-11,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,28,R-12,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,22,R-13,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,26,R-14,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,22,R-15,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,6,R-16,,,,,,,
NISHANTH KUMAR I B,Kasaragod,Independent,1,R-17,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,6,R-1,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,16,R-2,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,15,R-3,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,14,R-4,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,18,R-5,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,21,R-6,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,17,R-7,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,13,R-8,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,14,R-9,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,12,R-10,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,10,R-11,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,5,R-12,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,10,R-13,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,13,R-14,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,5,R-15,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,1,R-16,,,,,,,
SUDHAKARAN K,Kasaragod,Independent,2,R-17,,,,,,,
NOTA,Kasaragod,None of the Above,27,R-1,,,,,,,
NOTA,Kasaragod,None of the Above,45,R-2,,,,,,,
NOTA,Kasaragod,None of the Above,38,R-3,,,,,,,
NOTA,Kasaragod,None of the Above,44,R-4,,,,,,,
NOTA,Kasaragod,None of the Above,59,R-5,,,,,,,
NOTA,Kasaragod,None of the Above,54,R-6,,,,,,,
NOTA,Kasaragod,None of the Above,48,R-7,,,,,,,
NOTA,Kasaragod,None of the Above,41,R-8,,,,,,,
NOTA,Kasaragod,None of the Above,39,R-9,,,,,,,
NOTA,Kasaragod,None of the Above,41,R-10,,,,,,,
NOTA,Kasaragod,None of the Above,42,R-11,,,,,,,
NOTA,Kasaragod,None of the Above,36,R-12,,,,,,,
NOTA,Kasaragod,None of the Above,38,R-13,,,,,,,
NOTA,Kasaragod,None of the Above,40,R-14,,,,,,,
NOTA,Kasaragod,None of the Above,31,R-15,,,,,,,
NOTA,Kasaragod,None of the Above,5,R-16,,,,,,,
NOTA,Kasaragod,None of the Above,1,R-17,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),2300,R-1,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),3841,R-2,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),4100,R-3,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),3628,R-4,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),4829,R-5,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),4889,R-6,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),4572,R-7,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),4129,R-8,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),5623,R-9,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),5108,R-10,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),4942,R-11,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),7265,R-12,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),5853,R-13,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),5192,R-14,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),4891,R-15,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),3479,R-16,,,,,,,
C H KUNHAMBU,Udma,Communist Party of India (Marxist),2092,R-17,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,5024,R-1,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,4596,R-2,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,4134,R-3,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,4931,R-4,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,4263,R-5,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,3646,R-6,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,4040,R-7,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,3233,R-8,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,3163,R-9,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,3948,R-10,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,4091,R-11,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,3395,R-12,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,3890,R-13,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,4474,R-14,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,5048,R-15,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,1449,R-16,,,,,,,
BALAKRISHNAN PERIYE,Udma,Indian National Congress,792,R-17,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,2012,R-1,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,1876,R-2,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,762,R-3,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,1635,R-4,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,1662,R-5,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,1619,R-6,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,867,R-7,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,1413,R-8,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,1026,R-9,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,613,R-10,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,960,R-11,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,936,R-12,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,1018,R-13,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,1303,R-14,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,1363,R-15,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,422,R-16,,,,,,,
A VELAYUDHAN,Udma,Bharatiya Janata Party,491,R-17,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,15,R-1,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,12,R-2,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,10,R-3,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,13,R-4,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,8,R-5,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,17,R-6,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,6,R-7,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,10,R-8,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,12,R-9,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,6,R-10,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,13,R-11,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,5,R-12,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,12,R-13,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,7,R-14,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,24,R-15,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,12,R-16,,,,,,,
GOVINDAN B ALINTHAZE,Udma,Ambedkarite Party of India,7,R-17,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,8,R-1,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,6,R-2,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,11,R-3,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,13,R-4,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,5,R-5,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,17,R-6,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,6,R-7,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,5,R-8,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,4,R-9,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,11,R-10,,,,,,,
KUNHAMBU K S/o Kuttappan K C,Udma,Independent,4,R-11,,,,,,,
