O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes,Constituency,Distirct,Alliance,,,
6,C Balakrishnan Yadav,Independent,186,5,191,0.11,Taliparamba,Kannur,OTH,,,
7,Shijith K O P,Independent,497,11,508,0.29,Taliparamba,Kannur,OTH,,,
8,Nota,None of the Above,773,16,789,0.44,Taliparamba,Kannur,OTH,,,
1,Aniamma Teacher,Bharatiya Janata Party,7608,217,7825,5.13,Irikkur,Kannur,NDA,,,
2,Saji Kuttiyanimattam,Kerala Congress (M),64467,2287,66754,43.77,Irikkur,Kannur,LDF,,,
3,Adv. Sajeev Joseph,Indian National Congress,74194,2570,76764,50.33,Irikkur,Kannur,UDF,,,
4,Chacko Karimbil,Independent,295,16,311,0.2,Irikkur,Kannur,OTH,,,
5,Joy John,Independent,123,5,128,0.08,Irikkur,Kannur,OTH,,,
6,Sajan Kuttiyanikkal,Independent,268,7,275,0.18,Irikkur,Kannur,OTH,,,
7,Nota,None of the Above,449,10,459,0.3,Irikkur,Kannur,OTH,,,
1,K Ranjith,Bharatiya Janata Party,15403,338,15741,10.86,Azhikode,Kannur,NDA,,,
2,K M Shaji,Indian Union Muslim League,58490,1163,59653,41.17,Azhikode,Kannur,UDF,,,
3,K V Sumesh,Communist Party of India (Marxist),63895,1899,65794,45.41,Azhikode,Kannur,LDF,,,
4,Abdul Jabbar K K,SOCIAL DEMOCRATIC PARTY OF INDIA,2348,9,2357,1.63,Azhikode,Kannur,OTH,,,
5,Resmi Ravi,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),224,2,226,0.16,Azhikode,Kannur,OTH,,,
6,Pavithran Kurikkalot,Independent,41,7,48,0.03,Azhikode,Kannur,OTH,,,
7,Prasad V P,Independent,96,8,104,0.07,Azhikode,Kannur,OTH,,,
8,K M Shaji (Mamba),Independent,256,21,277,0.19,Azhikode,Kannur,OTH,,,
9,Sumesh M (Mauvery House),Independent,177,3,180,0.12,Azhikode,Kannur,OTH,,,
10,Nota,None of the Above,503,14,517,0.36,Azhikode,Kannur,OTH,,,
1,Archana Vandichal,Bharatiya Janata Party,11340,241,11581,8.64,Kannur,Kannur,NDA,,,
2,Satheeshan Pacheni,Indian National Congress,56953,1615,58568,43.68,Kannur,Kannur,UDF,,,
3,T K Ganesh Babu,New Labour Party,709,7,716,0.53,Kannur,Kannur,OTH,,,
4,Ramachandran Kadannappalli,Congress (Secular),58505,1808,60313,44.98,Kannur,Kannur,LDF,,,
5,B Shamsudheen Moulavi,SOCIAL DEMOCRATIC PARTY OF INDIA,2061,8,2069,1.54,Kannur,Kannur,OTH,,,
6,Ramachandran P V,Independent,106,1,107,0.08,Kannur,Kannur,OTH,,,
7,Satheesan P,Independent,134,13,147,0.11,Kannur,Kannur,OTH,,,
8,N K Surendran,Independent,83,1,84,0.06,Kannur,Kannur,OTH,,,
9,Nota,None of the Above,475,29,504,0.38,Kannur,Kannur,OTH,,,
1,C. K. Padmanabhan,Bharatiya Janata Party,14352,271,14623,9.13,Dharmadom,Kannur,NDA,,,
2,Pinarayi Vijayan,Communist Party of India (Marxist),92140,3382,95522,59.61,Dharmadom,Kannur,LDF,,,
3,C. Raghunathan,Indian National Congress,44089,1310,45399,28.33,Dharmadom,Kannur,UDF,,,
4,Basheer Kannadiparamba,SOCIAL DEMOCRATIC PARTY OF INDIA,2266,14,2280,1.42,Dharmadom,Kannur,OTH,,,
5,Chovva Raghunathan,Independent,136,1,137,0.09,Dharmadom,Kannur,OTH,,,
6,Valayar Bhagyavathi,Independent,1720,33,1753,1.09,Dharmadom,Kannur,OTH,,,
7,C. P. Maharoof,Independent,66,6,72,0.04,Dharmadom,Kannur,OTH,,,
8,Vadi Harindran,Independent,53,8,61,0.04,Dharmadom,Kannur,OTH,,,
9,Nota,None of the Above,390,10,400,0.25,Dharmadom,Kannur,OTH,,,
1,M. P. Aravindakshan,Indian National Congress,43811,1198,45009,33.84,Thalassery,Kannur,UDF,,,
2,Adv. A. N. Shamseer,Communist Party of India (Marxist),79628,2182,81810,61.52,Thalassery,Kannur,LDF,,,
3,Shamseer Ibrahim,Welfare Party Of India,1945,18,1963,1.48,Thalassery,Kannur,OTH,,,
4,Aravindhakshan S/O Kausu,Independent,522,11,533,0.4,Thalassery,Kannur,OTH,,,
5,C. O. T. Naseer,Independent,1127,36,1163,0.87,Thalassery,Kannur,OTH,,,
6,Haridasan,Independent,189,9,198,0.15,Thalassery,Kannur,OTH,,,
7,Nota,None of the Above,2283,30,2313,1.74,Thalassery,Kannur,OTH,,,
1,Pottankandi Abdulla,Indian Union Muslim League,59720,1365,61085,39.23,Kuthuparamba,Kannur,UDF,,,
2,C. Sadanandan Master,Bharatiya Janata Party,20795,417,21212,13.62,Kuthuparamba,Kannur,NDA,,,
3,K.P. Mohanan,Loktantrik Janta Dal,68472,2154,70626,45.36,Kuthuparamba,Kannur,LDF,,,
4,Abdulla Puthiyaparambath,Independent,379,10,389,0.25,Kuthuparamba,Kannur,OTH,,,
5,Mohanan Kunhiparambath Meethal,Independent,1334,26,1360,0.87,Kuthuparamba,Kannur,OTH,,,
6,Mohanan K.P. Kaithavecha Parambath,Independent,515,28,543,0.35,Kuthuparamba,Kannur,OTH,,,
7,Nota,None of the Above,489,5,494,0.32,Kuthuparamba,Kannur,OTH,,,
1,Illikkal Augusthy,Revolutionary Socialist Party,34195,971,35166,22.67,Mattannur,Kannur,UDF,,,
2,Biju Elakkuzhi,Bharatiya Janata Party,17815,408,18223,11.75,Mattannur,Kannur,NDA,,,
3,K K Shailaja Teacher,Communist Party of India (Marxist),93007,3122,96129,61.97,Mattannur,Kannur,LDF,,,
4,Rafeek Keechery,SOCIAL DEMOCRATIC PARTY OF INDIA,4173,28,4201,2.71,Mattannur,Kannur,OTH,,,
5,Agusthy N A,Independent,603,16,619,0.4,Mattannur,Kannur,OTH,,,
6,Nota,None of the Above,781,15,796,0.51,Mattannur,Kannur,OTH,,,
1,K V Sakkeer Hussain,Communist Party of India (Marxist),61942,1592,63534,44.7,Peravoor,Kannur,LDF,,,
2,Adv. Sunny Joseph,Indian National Congress,64784,1922,66706,46.93,Peravoor,Kannur,UDF,,,
3,Smitha Jayamohan,Bharatiya Janata Party,8956,199,9155,6.44,Peravoor,Kannur,NDA,,,
4,A C Jalaluddeen,SOCIAL DEMOCRATIC PARTY OF INDIA,1530,11,1541,1.08,Peravoor,Kannur,OTH,,,
5,John Pallikkamalil,Secular Democratic Congress,88,4,92,0.06,Peravoor,Kannur,OTH,,,
6,P K Saji,New Labour Party,104,2,106,0.07,Peravoor,Kannur,OTH,,,
7,Narayanakumar,Independent,55,5,60,0.04,Peravoor,Kannur,OTH,,,
8,Sakkeer E K S/O Asiya,Independent,101,15,116,0.08,Peravoor,Kannur,OTH,,,
9,Sakkeer Hussain S/O Hamsa,Independent,240,3,243,0.17,Peravoor,Kannur,OTH,,,
10,Sunny Muthukulathel,Independent,60,0,60,0.04,Peravoor,Kannur,OTH,,,
11,Sunny Vazhakkamalayil,Independent,121,0,121,0.09,Peravoor,Kannur,OTH,,,
12,Nota,None of the Above,392,12,404,0.28,Peravoor,Kannur,OTH,,,
1,O.R.Kelu,Communist Party of India (Marxist),70807,1729,72536,47.54,Mananthavady,Wayanad,LDF,,,
2,P.K.Jayalakshmi,Indian National Congress,61741,1513,63254,41.46,Mananthavady,Wayanad,UDF,,,
3,Palliyara Mukundan,Bharatiya Janata Party,12911,231,13142,8.61,Mananthavady,Wayanad,NDA,,,
4,Vijaya Cheloor,Bahujan Samaj Party,188,2,190,0.12,Mananthavady,Wayanad,OTH,,,
5,Babitha Sreenu,SOCIAL DEMOCRATIC PARTY OF INDIA,1966,26,1992,1.31,Mananthavady,Wayanad,OTH,,,
6,Kelu K.K. S/O Kunkan,Independent,274,14,288,0.19,Mananthavady,Wayanad,OTH,,,
7,Lakshmi,Independent,374,8,382,0.25,Mananthavady,Wayanad,OTH,,,
8,Nota,None of the Above,792,5,797,0.52,Mananthavady,Wayanad,OTH,,,
1,C.K Janu,Bharatiya Janata Party,14934,264,15198,9.08,Sultan Bathery,Wayanad,NDA,,,
2,I.C Balakrishnan,Indian National Congress,79152,1925,81077,48.42,Sultan Bathery,Wayanad,UDF,,,
3,M.S Viswanathan,Communist Party of India (Marxist),67616,1639,69255,41.36,Sultan Bathery,Wayanad,LDF,,,
4,Ondan Paniyan,Independent,730,12,742,0.44,Sultan Bathery,Wayanad,OTH,,,
5,Nota,None of the Above,1142,18,1160,0.69,Sultan Bathery,Wayanad,OTH,,,
1,Aswin Bhimnath,Bahujan Samaj Party,915,13,928,0.61,Kalpetta,Wayanad,OTH,,,
2,Adv.T Siddiqu,Indian National Congress,68845,1407,70252,46.15,Kalpetta,Wayanad,UDF,,,
3,Subeesh T M,Bharatiya Janata Party,13868,245,14113,9.27,Kalpetta,Wayanad,NDA,,,
4,M.V.Shreyamskumar,Loktantrik Janta Dal,63392,1390,64782,42.56,Kalpetta,Wayanad,OTH,,,
5,Sunil Vaidyar,Anna Democratic Human Rights Movement Party of India,444,11,455,0.3,Kalpetta,Wayanad,OTH,,,
6,Shylesh.K,Independent,204,6,210,0.14,Kalpetta,Wayanad,OTH,,,
7,T.Sidique S/O Abdulla,Independent,634,7,641,0.42,Kalpetta,Wayanad,OTH,,,
8,Nota,None of the Above,809,19,828,0.54,Kalpetta,Wayanad,OTH,,,
1,Advocate M. Rajesh Kumar,Bharatiya Janata Party,10033,192,10225,7.48,Vadakara,Kozhikode,NDA,,,
2,Manayath Chandran,Loktantrik Janta Dal,55672,1930,57602,42.15,Vadakara,Kozhikode,LDF,,,
3,Musthafa Paleri,SOCIAL DEMOCRATIC PARTY OF INDIA,2820,16,2836,2.08,Vadakara,Kozhikode,OTH,,,
4,K.K.Rema,Revolutionary Marxist Party of India,63418,1675,65093,47.63,Vadakara,Kozhikode,UDF,,,
5,Gangadharan Madappally,Independent,182,4,186,0.14,Vadakara,Kozhikode,OTH,,,
6,Velluparambath Chandran,Independent,60,3,63,0.05,Vadakara,Kozhikode,OTH,,,
7,Rama Kuniyil,Independent,112,14,126,0.09,Vadakara,Kozhikode,OTH,,,
